Previous,Current,Type,TzName,RowName
tzdata2013d,tzdata2013e,Zone,Europe/Zurich,Europe/Zurich
tzdata2013d,tzdata2013e,Zone,America/Thunder_Bay,America/Thunder_Bay
tzdata2013d,tzdata2013e,Zone,America/Anguilla,America/Anguilla
tzdata2013d,tzdata2013e,Zone,Atlantic/Bermuda,Atlantic/Bermuda
tzdata2013d,tzdata2013e,Zone,America/Cayman,America/Cayman
tzdata2013d,tzdata2013e,Zone,America/Dominica,America/Dominica
tzdata2013d,tzdata2013e,Zone,America/Grenada,America/Grenada
tzdata2013d,tzdata2013e,Zone,America/Guadeloupe,America/Guadeloupe
tzdata2013d,tzdata2013e,Link,America/Guadeloupe,America/St_Barthelemy
tzdata2013d,tzdata2013e,Link,America/Guadeloupe,America/Marigot
tzdata2013d,tzdata2013e,Zone,America/Jamaica,America/Jamaica
tzdata2013d,tzdata2013e,Zone,America/Montserrat,America/Montserrat
tzdata2013d,tzdata2013e,Zone,America/St_Kitts,America/St_Kitts
tzdata2013d,tzdata2013e,Zone,America/St_Lucia,America/St_Lucia
tzdata2013d,tzdata2013e,Zone,America/St_Vincent,America/St_Vincent
tzdata2013d,tzdata2013e,Zone,America/Grand_Turk,America/Grand_Turk
tzdata2013d,tzdata2013e,Zone,America/Tortola,America/Tortola
tzdata2013d,tzdata2013e,Zone,America/St_Thomas,America/St_Thomas
tzdata2013d,tzdata2013e,Rule,America/Argentina/San_Luis,SanLuis
tzdata2013d,tzdata2013e,Zone,America/Argentina/San_Luis,America/Argentina/San_Luis
tzdata2013d,tzdata2013e,Zone,America/Aruba,America/Aruba
tzdata2013e,tzdata2013f,Rule,Asia/Amman,Jordan
tzdata2013e,tzdata2013f,Zone,Asia/Amman,Asia/Amman
tzdata2013e,tzdata2013f,Rule,Asia/Gaza,Palestine
tzdata2013e,tzdata2013f,Zone,America/Araguaina,America/Araguaina
tzdata2013g,tzdata2013h,Rule,Africa/Tripoli,Libya
tzdata2013g,tzdata2013h,Zone,Africa/Tripoli,Africa/Tripoli
tzdata2013g,tzdata2013h,Zone,America/Eirunepe,America/Eirunepe
tzdata2013g,tzdata2013h,Zone,America/Rio_Branco,America/Rio_Branco
tzdata2013h,tzdata2013i,Rule,Asia/Amman,Jordan
tzdata2013h,tzdata2013i,Zone,Asia/Amman,Asia/Amman
tzdata2013h,tzdata2013i,Rule,America/Havana,Cuba
tzdata2013i,tzdata2014a,Rule,Asia/Jerusalem,Zion
tzdata2013i,tzdata2014a,Rule,Pacific/Fiji,Fiji
tzdata2013i,tzdata2014a,Zone,Europe/Istanbul,Europe/Istanbul
tzdata2013i,tzdata2014a,Zone,Europe/Kiev,Europe/Kiev
tzdata2014a,tzdata2014b,Rule,Antarctica/Vostok,NZAQ
tzdata2014a,tzdata2014b,Zone,Antarctica/Vostok,Antarctica/Vostok
tzdata2014a,tzdata2014b,Zone,Antarctica/Rothera,Antarctica/Rothera
tzdata2014a,tzdata2014b,Zone,Antarctica/Palmer,Antarctica/Palmer
tzdata2014a,tzdata2014b,Zone,Europe/Simferopol,Europe/Simferopol
tzdata2014d,tzdata2014e,Rule,Africa/Cairo,Egypt
tzdata2014d,tzdata2014e,Rule,WET,Russia
tzdata2014d,tzdata2014e,Zone,Europe/Moscow,Europe/Moscow
tzdata2014d,tzdata2014e,Zone,Asia/Vladivostok,Asia/Vladivostok
tzdata2014e,tzdata2014f,Zone,Africa/Ouagadougou,Africa/Ouagadougou
tzdata2014e,tzdata2014f,Zone,Africa/Banjul,Africa/Banjul
tzdata2014e,tzdata2014f,Rule,Africa/Accra,Ghana
tzdata2014e,tzdata2014f,Zone,Africa/Conakry,Africa/Conakry
tzdata2014e,tzdata2014f,Zone,Africa/Bamako,Africa/Bamako
tzdata2014e,tzdata2014f,Zone,Africa/Nouakchott,Africa/Nouakchott
tzdata2014e,tzdata2014f,Zone,Atlantic/St_Helena,Atlantic/St_Helena
tzdata2014e,tzdata2014f,Zone,Africa/Sao_Tome,Africa/Sao_Tome
tzdata2014e,tzdata2014f,Zone,Africa/Dakar,Africa/Dakar
tzdata2014e,tzdata2014f,Rule,Africa/Freetown,SL
tzdata2014e,tzdata2014f,Zone,Africa/Freetown,Africa/Freetown
tzdata2014e,tzdata2014f,Zone,Africa/Lome,Africa/Lome
tzdata2014e,tzdata2014f,Zone,Antarctica/Casey,Antarctica/Casey
tzdata2014e,tzdata2014f,Zone,Asia/Harbin,Asia/Harbin
tzdata2014e,tzdata2014f,Zone,Asia/Shanghai,Asia/Shanghai
tzdata2014e,tzdata2014f,Zone,Asia/Chongqing,Asia/Chongqing
tzdata2014e,tzdata2014f,Zone,Asia/Urumqi,Asia/Urumqi
tzdata2014e,tzdata2014f,Zone,Asia/Kashgar,Asia/Kashgar
tzdata2014e,tzdata2014f,Rule,Asia/Taipei,Taiwan
tzdata2014e,tzdata2014f,Zone,Asia/Taipei,Asia/Taipei
tzdata2014e,tzdata2014f,Zone,Asia/Tbilisi,Asia/Tbilisi
tzdata2014e,tzdata2014f,Zone,Asia/Jayapura,Asia/Jayapura
tzdata2014e,tzdata2014f,Zone,Asia/Tokyo,Asia/Tokyo
tzdata2014e,tzdata2014f,Zone,Asia/Seoul,Asia/Seoul
tzdata2014e,tzdata2014f,Zone,Asia/Pyongyang,Asia/Pyongyang
tzdata2014e,tzdata2014f,Zone,Asia/Riyadh,Asia/Riyadh
tzdata2014e,tzdata2014f,Zone,Asia/Tashkent,Asia/Tashkent
tzdata2014e,tzdata2014f,Rule,Australia/Darwin,Aus
tzdata2014e,tzdata2014f,Zone,Australia/Darwin,Australia/Darwin
tzdata2014e,tzdata2014f,Rule,Australia/Perth,AW
tzdata2014e,tzdata2014f,Zone,Australia/Perth,Australia/Perth
tzdata2014e,tzdata2014f,Zone,Australia/Eucla,Australia/Eucla
tzdata2014e,tzdata2014f,Rule,Australia/Brisbane,AQ
tzdata2014e,tzdata2014f,Rule,Australia/Brisbane,Holiday
tzdata2014e,tzdata2014f,Zone,Australia/Brisbane,Australia/Brisbane
tzdata2014e,tzdata2014f,Zone,Australia/Lindeman,Australia/Lindeman
tzdata2014e,tzdata2014f,Rule,Australia/Adelaide,AS
tzdata2014e,tzdata2014f,Zone,Australia/Adelaide,Australia/Adelaide
tzdata2014e,tzdata2014f,Rule,Australia/Hobart,AT
tzdata2014e,tzdata2014f,Zone,Australia/Hobart,Australia/Hobart
tzdata2014e,tzdata2014f,Zone,Australia/Currie,Australia/Currie
tzdata2014e,tzdata2014f,Rule,Australia/Melbourne,AV
tzdata2014e,tzdata2014f,Zone,Australia/Melbourne,Australia/Melbourne
tzdata2014e,tzdata2014f,Rule,Australia/Sydney,AN
tzdata2014e,tzdata2014f,Zone,Australia/Sydney,Australia/Sydney
tzdata2014e,tzdata2014f,Zone,Australia/Broken_Hill,Australia/Broken_Hill
tzdata2014e,tzdata2014f,Rule,Australia/Lord_Howe,LH
tzdata2014e,tzdata2014f,Zone,Australia/Lord_Howe,Australia/Lord_Howe
tzdata2014e,tzdata2014f,Zone,Antarctica/Macquarie,Antarctica/Macquarie
tzdata2014e,tzdata2014f,Zone,Pacific/Chatham,Pacific/Chatham
tzdata2014e,tzdata2014f,Zone,Pacific/Pago_Pago,Pacific/Pago_Pago
tzdata2014e,tzdata2014f,Rule,Pacific/Apia,WS
tzdata2014e,tzdata2014f,Zone,Pacific/Apia,Pacific/Apia
tzdata2014e,tzdata2014f,Link,Africa/Bamako,Africa/Timbuktu
tzdata2014e,tzdata2014f,Link,Asia/Chongqing,Asia/Chungking
tzdata2014e,tzdata2014f,Rule,Europe/Helsinki,Finland
tzdata2014e,tzdata2014f,Zone,Europe/Helsinki,Europe/Helsinki
tzdata2014e,tzdata2014f,Rule,Europe/Budapest,Hungary
tzdata2014e,tzdata2014f,Zone,Europe/Budapest,Europe/Budapest
tzdata2014e,tzdata2014f,Zone,Europe/Riga,Europe/Riga
tzdata2014e,tzdata2014f,Zone,Europe/Kaliningrad,Europe/Kaliningrad
tzdata2014e,tzdata2014f,Zone,Europe/Moscow,Europe/Moscow
tzdata2014e,tzdata2014f,Zone,Europe/Volgograd,Europe/Volgograd
tzdata2014e,tzdata2014f,Zone,Europe/Samara,Europe/Samara
tzdata2014e,tzdata2014f,Zone,Asia/Yekaterinburg,Asia/Yekaterinburg
tzdata2014e,tzdata2014f,Zone,Asia/Omsk,Asia/Omsk
tzdata2014e,tzdata2014f,Zone,Asia/Novosibirsk,Asia/Novosibirsk
tzdata2014e,tzdata2014f,Zone,Asia/Novokuznetsk,Asia/Novokuznetsk
tzdata2014e,tzdata2014f,Zone,Asia/Krasnoyarsk,Asia/Krasnoyarsk
tzdata2014e,tzdata2014f,Zone,Asia/Irkutsk,Asia/Irkutsk
tzdata2014e,tzdata2014f,Zone,Asia/Yakutsk,Asia/Yakutsk
tzdata2014e,tzdata2014f,Zone,Asia/Vladivostok,Asia/Vladivostok
tzdata2014e,tzdata2014f,Zone,Asia/Khandyga,Asia/Khandyga
tzdata2014e,tzdata2014f,Zone,Asia/Sakhalin,Asia/Sakhalin
tzdata2014e,tzdata2014f,Zone,Asia/Magadan,Asia/Magadan
tzdata2014e,tzdata2014f,Zone,Asia/Ust-Nera,Asia/Ust-Nera
tzdata2014e,tzdata2014f,Zone,Europe/Simferopol,Europe/Simferopol
tzdata2014e,tzdata2014f,Zone,America/Metlakatla,America/Metlakatla
tzdata2014f,tzdata2014g,Zone,Africa/Luanda,Africa/Luanda
tzdata2014f,tzdata2014g,Zone,Africa/Porto-Novo,Africa/Porto-Novo
tzdata2014f,tzdata2014g,Zone,Africa/Douala,Africa/Douala
tzdata2014f,tzdata2014g,Zone,Africa/Bangui,Africa/Bangui
tzdata2014f,tzdata2014g,Zone,Africa/Kinshasa,Africa/Kinshasa
tzdata2014f,tzdata2014g,Zone,Africa/Brazzaville,Africa/Brazzaville
tzdata2014f,tzdata2014g,Zone,Africa/Malabo,Africa/Malabo
tzdata2014f,tzdata2014g,Zone,Africa/Libreville,Africa/Libreville
tzdata2014f,tzdata2014g,Zone,Africa/Bissau,Africa/Bissau
tzdata2014f,tzdata2014g,Zone,Africa/Niamey,Africa/Niamey
tzdata2014f,tzdata2014g,Zone,Antarctica/Troll,Antarctica/Troll
tzdata2014f,tzdata2014g,Rule,Asia/Dhaka,Dhaka
tzdata2014f,tzdata2014g,Zone,Asia/Macau,Asia/Macau
tzdata2014f,tzdata2014g,Zone,Asia/Tbilisi,Asia/Tbilisi
tzdata2014f,tzdata2014g,Zone,Asia/Dili,Asia/Dili
tzdata2014f,tzdata2014g,Rule,Asia/Karachi,Pakistan
tzdata2014f,tzdata2014g,Zone,Asia/Samarkand,Asia/Samarkand
tzdata2014f,tzdata2014g,Zone,Europe/Riga,Europe/Riga
tzdata2014f,tzdata2014g,Zone,Europe/Lisbon,Europe/Lisbon
tzdata2014f,tzdata2014g,Zone,Atlantic/Azores,Atlantic/Azores
tzdata2014f,tzdata2014g,Zone,Atlantic/Madeira,Atlantic/Madeira
tzdata2014f,tzdata2014g,Zone,Europe/Samara,Europe/Samara
tzdata2014f,tzdata2014g,Zone,Asia/Yekaterinburg,Asia/Yekaterinburg
tzdata2014f,tzdata2014g,Zone,Asia/Omsk,Asia/Omsk
tzdata2014f,tzdata2014g,Zone,Asia/Krasnoyarsk,Asia/Krasnoyarsk
tzdata2014f,tzdata2014g,Zone,Asia/Irkutsk,Asia/Irkutsk
tzdata2014f,tzdata2014g,Zone,Asia/Yakutsk,Asia/Yakutsk
tzdata2014f,tzdata2014g,Zone,Asia/Vladivostok,Asia/Vladivostok
tzdata2014f,tzdata2014g,Rule,America/Blanc-Sablon,Mont
tzdata2014f,tzdata2014g,Rule,America/Grand_Turk,TC
tzdata2014f,tzdata2014g,Zone,America/Grand_Turk,America/Grand_Turk
tzdata2014g,tzdata2014h,Zone,Africa/Gaborone,Africa/Gaborone
tzdata2014g,tzdata2014h,Zone,Africa/Bujumbura,Africa/Bujumbura
tzdata2014g,tzdata2014h,Zone,Africa/Lubumbashi,Africa/Lubumbashi
tzdata2014g,tzdata2014h,Zone,Africa/Maseru,Africa/Maseru
tzdata2014g,tzdata2014h,Zone,Africa/Blantyre,Africa/Blantyre
tzdata2014g,tzdata2014h,Zone,Africa/Kigali,Africa/Kigali
tzdata2014g,tzdata2014h,Zone,Africa/Mbabane,Africa/Mbabane
tzdata2014g,tzdata2014h,Zone,Africa/Lusaka,Africa/Lusaka
tzdata2014g,tzdata2014h,Zone,Africa/Harare,Africa/Harare
tzdata2014g,tzdata2014h,Zone,Asia/Novokuznetsk,Asia/Novokuznetsk
tzdata2014g,tzdata2014h,Zone,America/Jamaica,America/Jamaica
tzdata2014h,tzdata2014i,Zone,Asia/Phnom_Penh,Asia/Phnom_Penh
tzdata2014h,tzdata2014i,Zone,Asia/Vientiane,Asia/Vientiane
tzdata2014h,tzdata2014i,Zone,Asia/Ho_Chi_Minh,Asia/Ho_Chi_Minh
tzdata2014h,tzdata2014i,Rule,Pacific/Fiji,Fiji
tzdata2014h,tzdata2014i,Zone,Europe/Minsk,Europe/Minsk
tzdata2014i,tzdata2014j,Zone,Indian/Comoro,Indian/Comoro
tzdata2014i,tzdata2014j,Zone,Africa/Djibouti,Africa/Djibouti
tzdata2014i,tzdata2014j,Zone,Africa/Asmara,Africa/Asmara
tzdata2014i,tzdata2014j,Zone,Africa/Addis_Ababa,Africa/Addis_Ababa
tzdata2014i,tzdata2014j,Zone,Indian/Antananarivo,Indian/Antananarivo
tzdata2014i,tzdata2014j,Zone,Indian/Mayotte,Indian/Mayotte
tzdata2014i,tzdata2014j,Zone,Africa/Mogadishu,Africa/Mogadishu
tzdata2014i,tzdata2014j,Zone,Africa/Dar_es_Salaam,Africa/Dar_es_Salaam
tzdata2014i,tzdata2014j,Zone,Africa/Kampala,Africa/Kampala
tzdata2014i,tzdata2014j,Rule,Asia/Seoul,ROK
tzdata2014i,tzdata2014j,Zone,Asia/Seoul,Asia/Seoul
tzdata2014i,tzdata2014j,Zone,Asia/Pyongyang,Asia/Pyongyang
tzdata2014i,tzdata2014j,Zone,America/Grand_Turk,America/Grand_Turk
tzdata2014j,tzdata2015a,Rule,Antarctica/Casey,ChileAQ
tzdata2014j,tzdata2015a,Zone,Antarctica/Palmer,Antarctica/Palmer
tzdata2014j,tzdata2015a,Zone,Asia/Bahrain,Asia/Bahrain
tzdata2014j,tzdata2015a,Zone,Asia/Kuwait,Asia/Kuwait
tzdata2014j,tzdata2015a,Zone,Asia/Muscat,Asia/Muscat
tzdata2014j,tzdata2015a,Zone,Asia/Aden,Asia/Aden
tzdata2014j,tzdata2015a,Link,Africa/Asmara,Africa/Asmera
tzdata2014j,tzdata2015a,Rule,Atlantic/Reykjavik,Iceland
tzdata2014j,tzdata2015a,Zone,Atlantic/Reykjavik,Atlantic/Reykjavik
tzdata2014j,tzdata2015a,Rule,EST,US
tzdata2014j,tzdata2015a,Zone,America/Cancun,America/Cancun
tzdata2014j,tzdata2015a,Rule,America/Santiago,Chile
tzdata2014j,tzdata2015a,Zone,America/Santiago,America/Santiago
tzdata2014j,tzdata2015a,Zone,Pacific/Easter,Pacific/Easter
tzdata2015a,tzdata2015b,Rule,Asia/Gaza,Palestine
tzdata2015a,tzdata2015b,Zone,Pacific/Saipan,Pacific/Saipan
tzdata2015a,tzdata2015b,Zone,Pacific/Midway,Pacific/Midway
tzdata2015a,tzdata2015b,Zone,Europe/Volgograd,Europe/Volgograd
tzdata2015a,tzdata2015b,Zone,America/Antigua,America/Antigua
tzdata2015a,tzdata2015b,Zone,America/Cayman,America/Cayman
tzdata2015a,tzdata2015b,Zone,Pacific/Easter,Pacific/Easter
tzdata2015b,tzdata2015c,Rule,Africa/Cairo,Egypt
tzdata2015b,tzdata2015c,Rule,Antarctica/Casey,ArgAQ
tzdata2015b,tzdata2015c,Rule,Antarctica/Casey,ChileAQ
tzdata2015b,tzdata2015c,Zone,Antarctica/Palmer,Antarctica/Palmer
tzdata2015b,tzdata2015c,Rule,America/Blanc-Sablon,Mont
tzdata2015b,tzdata2015c,Zone,America/Montreal,America/Montreal
tzdata2015b,tzdata2015c,Rule,America/Santiago,Chile
tzdata2015b,tzdata2015c,Zone,America/Santiago,America/Santiago
tzdata2015b,tzdata2015c,Zone,Pacific/Easter,Pacific/Easter
tzdata2015c,tzdata2015d,Rule,Africa/Cairo,Egypt
tzdata2015c,tzdata2015d,Zone,America/Adak,America/Adak
tzdata2015c,tzdata2015d,Zone,America/Whitehorse,America/Whitehorse
tzdata2015d,tzdata2015e,Rule,Africa/Casablanca,Morocco
tzdata2015d,tzdata2015e,Link,America/Panama,America/Cayman
tzdata2015e,tzdata2015f,Zone,Asia/Pyongyang,Asia/Pyongyang
tzdata2015e,tzdata2015f,Zone,Europe/Sofia,Europe/Sofia
tzdata2015e,tzdata2015f,Zone,Europe/Tallinn,Europe/Tallinn
tzdata2015e,tzdata2015f,Zone,Europe/Chisinau,Europe/Chisinau
tzdata2015e,tzdata2015f,Zone,Europe/Simferopol,Europe/Simferopol
tzdata2015e,tzdata2015f,Zone,Atlantic/Canary,Atlantic/Canary
tzdata2015e,tzdata2015f,Rule,America/Montevideo,Uruguay
tzdata2015e,tzdata2015f,Zone,America/Caracas,America/Caracas
tzdata2015f,tzdata2015g,Zone,Asia/Pyongyang,Asia/Pyongyang
tzdata2015f,tzdata2015g,Rule,Pacific/Fiji,Fiji
tzdata2015f,tzdata2015g,Zone,Pacific/Norfolk,Pacific/Norfolk
tzdata2015f,tzdata2015g,Zone,Europe/Istanbul,Europe/Istanbul
tzdata2015g,tzdata2016a,Rule,Asia/Tehran,Iran
tzdata2015g,tzdata2016a,Rule,Asia/Karachi,Pakistan
tzdata2015g,tzdata2016a,Zone,Asia/Chita,Asia/Chita
tzdata2015g,tzdata2016a,Zone,America/Metlakatla,America/Metlakatla
tzdata2015g,tzdata2016a,Zone,America/Santa_Isabel,America/Santa_Isabel
tzdata2015g,tzdata2016a,Zone,America/Cayman,America/Cayman
tzdata2016a,tzdata2016b,Rule,Asia/Gaza,Palestine
tzdata2016a,tzdata2016b,Zone,Europe/Chisinau,Europe/Chisinau
tzdata2016a,tzdata2016b,Zone,Europe/Samara,Europe/Samara
tzdata2016a,tzdata2016b,Zone,Asia/Sakhalin,Asia/Sakhalin
tzdata2016a,tzdata2016b,Rule,America/Port-au-Prince,Haiti
tzdata2016b,tzdata2016c,Rule,Asia/Baku,Azer
tzdata2016b,tzdata2016c,Zone,Europe/Vilnius,Europe/Vilnius
tzdata2016b,tzdata2016c,Zone,Europe/Kaliningrad,Europe/Kaliningrad
tzdata2016b,tzdata2016c,Zone,Europe/Volgograd,Europe/Volgograd
tzdata2016b,tzdata2016c,Zone,Asia/Barnaul,Asia/Barnaul
tzdata2016b,tzdata2016c,Rule,America/Santiago,Chile
tzdata2016b,tzdata2016c,Zone,America/Santiago,America/Santiago
tzdata2016b,tzdata2016c,Zone,Pacific/Easter,Pacific/Easter
tzdata2016b,tzdata2016c,Zone,Antarctica/Palmer,Antarctica/Palmer
tzdata2016c,tzdata2016d,Rule,Asia/Kabul,RussiaAsia
tzdata2016c,tzdata2016d,Zone,Asia/Yerevan,Asia/Yerevan
tzdata2016c,tzdata2016d,Zone,Asia/Almaty,Asia/Almaty
tzdata2016c,tzdata2016d,Zone,Asia/Qyzylorda,Asia/Qyzylorda
tzdata2016c,tzdata2016d,Zone,Asia/Aqtobe,Asia/Aqtobe
